product_id,program,product,plan,product_label,status,upsell_link,AMAUNT,create_date_unix,sales_volume,installments,units / package,type
170,new sound,new sound feedback LE,New Sound LE Feedback Fall 2023 (2 Payments),ns-experience-feedback-2p,active,https://hadarshemesh.thrivecart.com/new-sound-le-feedback-2p/,299,1676844293,16,2,,installments
169,new sound,new sound feedback LE,New Sound LE Feedback Fall 2023,ns-experience-feedback-1p,active,https://hadarshemesh.thrivecart.com/new-sound-le-feedback-1p/,597,1676843384,15,1,,one-payment
77,new sound,new sound LE,New Sound LE Standard (3 Payments) 2025,# new-sound-le-3p,active,https://hadarshemesh.thrivecart.com/new-sound-le-3p/,77,1634717879,250,3,,installments
72,new sound,new sound LE,New Sound LE Standard 2025,# new-sound-le-1p,active,https://hadarshemesh.thrivecart.com/new-sound-le-1p/,132,1634471689,263,1,,subscription
83,new sound,new sound POD,New Sound - Mini Pods - Upgrade [id83],ns-mini pods-1P,active,https://hadarshemesh.thrivecart.com/ns-minipods-1p/,297,1635323771,22,1,,subscription
214,new sound,new sound POD,New Sound POD Upgrade,ns-pod-upgrade-1p,active,https://hadarshemesh.thrivecart.com/new-sound-pod-upgrade-1p/,900,1709632143,2,1,,one-payment
281,,Grammar Master,Grammar Master (Launch discount) split pay,Grammar Master 2 paiments,active,https://hadarshemesh.thrivecart.com/grammar-master-launch-2p/,48.5,1761314068,1,,,
275,new sound,new sound POD,New Sound Coaching Pods,# ns-pods-4p-s,active,https://hadarshemesh.thrivecart.com/new-sound-pods-4p-s/,0,1759241129,2,,,one-payment
150,new sound,new sound VIP,New Sound VIP (6 Payments) 2025,# ns-vip-6p,active,https://hadarshemesh.thrivecart.com/new-sound-vip-6p/,297,1662842574,136,6,,installments
221,new sound,new sound VIP,New Sound VIP Spring 2024 (8 Payments),ns-vip-8p,active,https://hadarshemesh.thrivecart.com/new-sound-vip-8p/,223,1713377295,3,8,,installments
131,new sound,new sound VIP,New Sound VIP 2025,# ns-vip-1p,active,https://hadarshemesh.thrivecart.com/new-sound-vip-1p/,1697,1660650913,161,1,,one-payment
286,,Beyond,FOR COUPON TESTING Beyond Monthly Membership (legacy) (Copy 2),FOR COUPON TESTING beyond-m $39,active,https://hadarshemesh.thrivecart.com/beyond-monthly-membership-legacy-copy-2/,,1768071432,0,,,
289,,Coaching,2:1 Pronunciation Sessions x 5,Five 2:1 pronunciation sessions 635,active,https://hadarshemesh.thrivecart.com/couple-pronunciation-sessions/,,1769013359,1,,,
78,new sound,new sound VIP LE,New Sound LE VIP (6 Payments),# ns-experience-vip-6p,active,https://hadarshemesh.thrivecart.com/new-sound-le-vip-6p/,0,1634719016,61,6,,installments
75,new sound,new sound VIP LE,New Sound LE VIP 2025,# ns-experience-vip-1p,active,https://hadarshemesh.thrivecart.com/new-sound-le-vip-1p/,0,1634712155,57,1,,subscription
40,Sprint,Sprint,Sprint Master - $97 [id40],sprint master main offer,active,https://hadarshemesh.thrivecart.com/sprint-master-join/,97,1616763688,2030,,,subscription
182,Sprint,Sprint,Sprint Master - $87 [id182],sprintm-10-rookie,active,https://hadarshemesh.thrivecart.com/sprint-master-10/,87,1685973665,311,1,,one-payment
294,,Beyond,Beyond Lite Monthly Membership (Copy 2),beyond lite monthly $19 2026,active,https://hadarshemesh.thrivecart.com/beyond-lite-monthly-membership-copy-2/,,1772705264,0,,,
187,Sprint,Sprint,Sprint Master - $77 [id187],sprintm-20-rookie,active,https://hadarshemesh.thrivecart.com/sprint-master-20/,77,1687359607,104,1,,one-payment
204,Sprint,Sprint,Sprint Master,SM with SM2.0 Bump offer 2026,active,https://hadarshemesh.thrivecart.com/sprint-checkout/,0,1700212793,100,1,,one-payment
298,,new sound,New Sound,NS11 Beyonders 3p X $177 DISCOUNTED coupon,active,https://hadarshemesh.thrivecart.com/by-ns-live-3p/,247,1773922049,1,,,
205,Sprint,Sprint,Sprint Master + Sprint Master 2.0,sprintm-BY-cancel-downsell,active,https://hadarshemesh.thrivecart.com/sprint-master-by-annual/,97,1700661384,522,1,,one-payment
283,Sprint,Sprint,[Black Friday] Grammar Master + Sprint Master 2.0,Grammar Master Black Friday 2025,active,https://hadarshemesh.thrivecart.com/grammar-master-black-friday/,97,1763457497,37,,,one-payment
284,Sprint,Sprint,[Black Friday] Sprint Master + Sprint Master 2.0,SM+SM2.0 Black Friday 2025,active,https://hadarshemesh.thrivecart.com/sprint-master-black-friday/,0,1763541586,270,,,one-payment
302,,new sound,New Sound Premium Coaching,NS11 POD upgrade 4p of $200,active,https://hadarshemesh.thrivecart.com/ns-live-pod-upgrade-4p/,200,1775738283,0,,,
